# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,5.200000000000000178e+00,5.247479857017514071e+00
-2.994999999999999746e-02,4.480000000000000426e+00,4.911457911176221991e+00
-2.989999999999999949e-02,4.639999999999999680e+00,4.579426922679421530e+00
-2.984999999999999806e-02,4.000000000000000000e+00,4.254276735378793362e+00
-2.980000000000000010e-02,4.080000000000000071e+00,3.937459620689837791e+00
-2.974999999999999867e-02,3.280000000000000249e+00,3.629487596731231225e+00
-2.969999999999999724e-02,3.600000000000000089e+00,3.330099070972139419e+00
-2.964999999999999927e-02,2.800000000000000266e+00,3.038440996058855870e+00
-2.959999999999999784e-02,2.959999999999999964e+00,2.753419188938063922e+00
-2.954999999999999988e-02,2.240000000000000213e+00,2.473871454230794242e+00
-2.949999999999999845e-02,2.479999999999999982e+00,2.198573650835456750e+00
-2.945000000000000048e-02,1.679999999999999938e+00,1.926341922834540199e+00
-2.939999999999999905e-02,1.840000000000000080e+00,1.656091963679427126e+00
-2.934999999999999762e-02,1.199999999999999956e+00,1.386715993438396799e+00
-2.929999999999999966e-02,1.439999999999999947e+00,1.117090847359584638e+00
-2.924999999999999822e-02,6.400000000000000133e-01,8.463792162068510816e-01
-2.920000000000000026e-02,8.000000000000000444e-01,5.742313327947925483e-01
-2.914999999999999883e-02,8.000000000000000167e-02,3.006429580074129193e-01
-2.909999999999999740e-02,2.399999999999999911e-01,2.572545750185481830e-02
-2.904999999999999943e-02,-4.000000000000000222e-01,-2.503592742205320576e-01
-2.899999999999999800e-02,-4.000000000000000222e-01,-5.273501470128133528e-01
-2.895000000000000004e-02,-1.040000000000000036e+00,-8.049778966795572144e-01
-2.889999999999999861e-02,-8.800000000000000044e-01,-1.083197964194305918e+00
-2.885000000000000064e-02,-1.520000000000000018e+00,-1.362214590153267624e+00
-2.879999999999999921e-02,-1.439999999999999947e+00,-1.642246140158463596e+00
-2.874999999999999778e-02,-2.080000000000000071e+00,-1.923332655383789502e+00
-2.869999999999999982e-02,-2.000000000000000000e+00,-2.205285022206837198e+00
-2.864999999999999838e-02,-2.800000000000000266e+00,-2.487775613735529134e+00
-2.860000000000000042e-02,-2.560000000000000053e+00,-2.770622161564930686e+00
-2.854999999999999899e-02,-3.200000000000000178e+00,-3.053964857541524580e+00
-2.849999999999999756e-02,-3.040000000000000036e+00,-3.337985448398368860e+00
-2.844999999999999959e-02,-3.760000000000000231e+00,-3.622419883135362006e+00
-2.839999999999999816e-02,-3.680000000000000160e+00,-3.906317939347302648e+00
-2.835000000000000020e-02,-4.400000000000000355e+00,-4.188154317712115215e+00
-2.829999999999999877e-02,-4.240000000000000213e+00,-4.466098961320458471e+00
-2.824999999999999734e-02,-5.040000000000000036e+00,-4.738259342035377131e+00
-2.819999999999999937e-02,-4.799999999999999822e+00,-5.002911909467489870e+00
-2.814999999999999794e-02,-5.520000000000000462e+00,-5.258690269829367381e+00
-2.809999999999999998e-02,-5.280000000000000249e+00,-5.504595556428043324e+00
-2.804999999999999855e-02,-6.000000000000000000e+00,-5.739893000120649624e+00
-2.799999999999999711e-02,-5.759999999999999787e+00,-5.964056205338311933e+00
-2.794999999999999915e-02,-6.480000000000000426e+00,-6.176817116943817076e+00
-2.789999999999999772e-02,-6.160000000000000142e+00,-6.378276411827479286e+00
-2.784999999999999976e-02,-6.719999999999999751e+00,-6.568875211293905281e+00
-2.779999999999999832e-02,-6.560000000000000497e+00,-6.749126620618847383e+00
-2.774999999999999689e-02,-7.040000000000000036e+00,-6.919355564998659780e+00
-2.769999999999999893e-02,-6.879999999999999893e+00,-7.079594002151147869e+00
-2.764999999999999750e-02,-7.440000000000000391e+00,-7.229578457826914217e+00
-2.759999999999999953e-02,-7.200000000000000178e+00,-7.368899886512515707e+00
-2.754999999999999810e-02,-7.600000000000000533e+00,-7.497156820159013080e+00
-2.750000000000000014e-02,-7.440000000000000391e+00,-7.613863593107432770e+00
-2.744999999999999871e-02,-7.919999999999999929e+00,-7.718319390432452742e+00
-2.739999999999999727e-02,-7.679999999999999716e+00,-7.809745534149329593e+00
-2.734999999999999931e-02,-8.080000000000000071e+00,-7.887546434030492826e+00
-2.729999999999999788e-02,-7.759999999999999787e+00,-7.951398856734545717e+00
-2.724999999999999992e-02,-8.160000000000000142e+00,-8.001124745673401151e+00
-2.719999999999999848e-02,-7.839999999999999858e+00,-8.036502418296622707e+00
-2.715000000000000052e-02,-8.240000000000000213e+00,-8.057169816693621200e+00
