# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,-1.104000000000000092e+00,-1.230266184676721775e+00
-2.994999999999999746e-02,0.000000000000000000e+00,-6.939624796909511506e-01
-2.989999999999999949e-02,-9.199999999999999845e-02,-1.589190600974194623e-01
-2.984999999999999806e-02,9.199999999999999289e-01,3.721777190718734141e-01
-2.980000000000000010e-02,8.279999999999999583e-01,9.000540517617584557e-01
-2.974999999999999867e-02,1.655999999999999917e+00,1.428071772730464373e+00
-2.969999999999999724e-02,1.564000000000000057e+00,1.961065586989570120e+00
-2.964999999999999927e-02,2.576000000000000068e+00,2.503940033660644993e+00
-2.959999999999999784e-02,2.483999999999999986e+00,3.060447460262324615e+00
-2.954999999999999988e-02,3.588000000000000078e+00,3.632277379223732616e+00
-2.949999999999999845e-02,3.403999999999999915e+00,4.218250456492562250e+00
-2.945000000000000048e-02,4.783999999999999808e+00,4.813546328866591395e+00
-2.939999999999999905e-02,4.692000000000000171e+00,5.409270292649889456e+00
-2.934999999999999762e-02,6.347999999999999865e+00,5.992756696582754117e+00
-2.929999999999999966e-02,6.072000000000000064e+00,6.548639155552068658e+00
-2.924999999999999822e-02,8.096000000000000085e+00,7.060520355300496043e+00
-2.920000000000000026e-02,8.003999999999999559e+00,7.513561242630157011e+00
-2.914999999999999883e-02,8.740000000000000213e+00,7.897620845533790401e+00
-2.909999999999999740e-02,8.832000000000000739e+00,8.209228779862231207e+00
-2.904999999999999943e-02,8.464000000000000412e+00,8.451556829283607186e+00
-2.899999999999999800e-02,8.464000000000000412e+00,8.632482519698696066e+00
-2.895000000000000004e-02,8.923999999999999488e+00,8.761706103989306271e+00
-2.889999999999999861e-02,8.923999999999999488e+00,8.849170522713961873e+00
-2.885000000000000064e-02,8.555999999999999162e+00,8.904983974237365985e+00
-2.879999999999999921e-02,8.555999999999999162e+00,8.938720399243903714e+00
-2.874999999999999778e-02,9.016000000000000014e+00,8.957999687375851394e+00
-2.869999999999999982e-02,8.647999999999999687e+00,8.968109874772281387e+00
-2.864999999999999838e-02,9.016000000000000014e+00,8.972596559748422962e+00
-2.860000000000000042e-02,8.647999999999999687e+00,8.973606198078375229e+00
-2.854999999999999899e-02,9.108000000000000540e+00,8.971945873874409116e+00
-2.849999999999999756e-02,9.199999999999999289e+00,8.967589803262837833e+00
-2.844999999999999959e-02,8.832000000000000739e+00,8.960737617783467002e+00
-2.839999999999999816e-02,9.199999999999999289e+00,8.952435773734190860e+00
-2.835000000000000020e-02,8.740000000000000213e+00,8.944409803305303441e+00
-2.829999999999999877e-02,8.923999999999999488e+00,8.938618445232371812e+00
-2.824999999999999734e-02,8.740000000000000213e+00,8.936630251730571572e+00
-2.819999999999999937e-02,9.108000000000000540e+00,8.939211105866085916e+00
-2.814999999999999794e-02,8.740000000000000213e+00,8.946513948569164043e+00
-2.809999999999999998e-02,8.740000000000000213e+00,8.958167756198223586e+00
