# [TIME],[VOLT],[VOLT filtered 1kHz] 
# 
-2.999999999999999889e-02,8.555999999999999162e+00,8.559955124134022597e+00
-2.994999999999999746e-02,8.923999999999999488e+00,8.619043648902067645e+00
-2.989999999999999949e-02,8.923999999999999488e+00,8.675966866088902663e+00
-2.984999999999999806e-02,8.555999999999999162e+00,8.729297975230535300e+00
-2.980000000000000010e-02,8.647999999999999687e+00,8.778793291748142380e+00
-2.974999999999999867e-02,9.016000000000000014e+00,8.824162541866177989e+00
-2.969999999999999724e-02,9.016000000000000014e+00,8.864919435798594094e+00
-2.964999999999999927e-02,8.647999999999999687e+00,8.901084759140449165e+00
-2.959999999999999784e-02,8.647999999999999687e+00,8.932834018774345353e+00
-2.954999999999999988e-02,9.016000000000000014e+00,8.959206923220389029e+00
-2.949999999999999845e-02,9.016000000000000014e+00,8.977792743744613446e+00
-2.945000000000000048e-02,8.647999999999999687e+00,8.985402801951108742e+00
-2.939999999999999905e-02,9.016000000000000014e+00,8.978130929239297231e+00
-2.934999999999999762e-02,8.647999999999999687e+00,8.950833679352749428e+00
-2.929999999999999966e-02,9.016000000000000014e+00,8.896997944825367099e+00
-2.924999999999999822e-02,8.555999999999999162e+00,8.808990540046128359e+00
-2.920000000000000026e-02,8.923999999999999488e+00,8.678406883025369112e+00
-2.914999999999999883e-02,8.555999999999999162e+00,8.496651687088592197e+00
-2.909999999999999740e-02,8.832000000000000739e+00,8.256006884797145062e+00
-2.904999999999999943e-02,8.188000000000000611e+00,7.951036466813024894e+00
-2.899999999999999800e-02,8.279999999999999361e+00,7.579820247518383347e+00
-2.895000000000000004e-02,6.899999999999999467e+00,7.144428608996753027e+00
-2.889999999999999861e-02,7.176000000000000156e+00,6.650250149162839186e+00
-2.885000000000000064e-02,5.703999999999999737e+00,6.104733365629838815e+00
-2.879999999999999921e-02,5.796000000000000263e+00,5.516304498794143640e+00
-2.874999999999999778e-02,4.416000000000000369e+00,4.893449887850261248e+00
-2.869999999999999982e-02,4.508000000000000007e+00,4.243998385596359668e+00
-2.864999999999999838e-02,3.036000000000000032e+00,3.574753482969357687e+00
-2.860000000000000042e-02,3.219999999999999751e+00,2.891340359789868142e+00
-2.854999999999999899e-02,1.655999999999999917e+00,2.198200172528128160e+00
-2.849999999999999756e-02,1.839999999999999858e+00,1.498675005639439783e+00
-2.844999999999999959e-02,4.599999999999999645e-01,7.951962290297728275e-01
-2.839999999999999816e-02,5.520000000000000462e-01,8.977311764451600951e-02
-2.835000000000000020e-02,-1.104000000000000092e+00,-6.154766229543244815e-01
-2.829999999999999877e-02,-8.279999999999999583e-01,-1.318240177420044290e+00
-2.824999999999999734e-02,-2.299999999999999822e+00,-2.016041383920730734e+00
-2.819999999999999937e-02,-2.299999999999999822e+00,-2.705951186979953071e+00
-2.814999999999999794e-02,-3.771999999999999797e+00,-3.384408159642687597e+00
-2.809999999999999998e-02,-3.495999999999999996e+00,-4.047353045453307097e+00
-2.804999999999999855e-02,-4.967999999999999972e+00,-4.690133897782092554e+00
-2.799999999999999711e-02,-4.876000000000000334e+00,-5.307165281006225754e+00
-2.794999999999999915e-02,-6.256000000000000227e+00,-5.891910780896243871e+00
-2.789999999999999772e-02,-6.072000000000000064e+00,-6.437245114473661545e+00
-2.784999999999999976e-02,-7.451999999999999957e+00,-6.935912639803521351e+00
-2.779999999999999832e-02,-7.176000000000000156e+00,-7.381093797388773581e+00
-2.774999999999999689e-02,-8.464000000000000412e+00,-7.767149641690870965e+00
-2.769999999999999893e-02,-8.371999999999999886e+00,-8.090667195483186802e+00
-2.764999999999999750e-02,-8.832000000000000739e+00,-8.351683533910923884e+00
-2.759999999999999953e-02,-8.464000000000000412e+00,-8.554075335066242403e+00
-2.754999999999999810e-02,-8.923999999999999488e+00,-8.704590840625622050e+00
-2.750000000000000014e-02,-8.555999999999999162e+00,-8.811415819315303821e+00
-2.744999999999999871e-02,-8.923999999999999488e+00,-8.883022859629686963e+00
-2.739999999999999727e-02,-8.923999999999999488e+00,-8.927516704436252226e+00
-2.734999999999999931e-02,-8.647999999999999687e+00,-8.952451525708596591e+00
-2.729999999999999788e-02,-9.016000000000000014e+00,-8.964576641092609322e+00
-2.724999999999999992e-02,-8.647999999999999687e+00,-8.969435939373600064e+00
-2.719999999999999848e-02,-9.016000000000000014e+00,-8.971217981940908359e+00
-2.715000000000000052e-02,-8.647999999999999687e+00,-8.972743892027223112e+00
-2.709999999999999909e-02,-9.016000000000000014e+00,-8.975435229799488823e+00
-2.704999999999999766e-02,-8.647999999999999687e+00,-8.979291486133810452e+00
-2.699999999999999969e-02,-9.016000000000000014e+00,-8.982863004155811737e+00
-2.694999999999999826e-02,-8.647999999999999687e+00,-8.983219469905073140e+00
-2.690000000000000030e-02,-9.016000000000000014e+00,-8.975928717519510158e+00
-2.684999999999999887e-02,-8.647999999999999687e+00,-8.955075441242726697e+00
-2.679999999999999744e-02,-9.016000000000000014e+00,-8.913364317849651997e+00
-2.674999999999999947e-02,-8.647999999999999687e+00,-8.842366542188489831e+00
-2.669999999999999804e-02,-8.923999999999999488e+00,-8.732924084973310741e+00
-2.665000000000000008e-02,-8.555999999999999162e+00,-8.575678735694568289e+00
-2.659999999999999865e-02,-8.832000000000000739e+00,-8.361815419702297802e+00
-2.654999999999999721e-02,-8.371999999999999886e+00,-8.084168072921304571e+00
-2.649999999999999925e-02,-8.647999999999999687e+00,-7.738713352052234207e+00
-2.644999999999999782e-02,-7.267999999999999794e+00,-7.325938190526578353e+00
-2.639999999999999986e-02,-7.267999999999999794e+00,-6.850899782374637148e+00
-2.634999999999999842e-02,-5.979999999999999538e+00,-6.321741359883862543e+00
-2.629999999999999699e-02,-5.979999999999999538e+00,-5.747893225115618954e+00
-2.624999999999999903e-02,-4.599999999999999645e+00,-5.138754019098151105e+00
-2.619999999999999760e-02,-4.783999999999999808e+00,-4.502821831155070065e+00
-2.614999999999999963e-02,-3.311999999999999833e+00,-3.847300664367650391e+00
-2.609999999999999820e-02,-3.403999999999999915e+00,-3.178040868693759791e+00
-2.604999999999999677e-02,-2.116000000000000103e+00,-2.499567778162727461e+00
-2.599999999999999881e-02,-2.116000000000000103e+00,-1.815313114652733262e+00
-2.595000000000000084e-02,-7.359999999999999876e-01,-1.128002458801475427e+00
-2.589999999999999941e-02,-7.359999999999999876e-01,-4.398730168100361548e-01
-2.584999999999999798e-02,5.520000000000000462e-01,2.472489798917626713e-01
-2.579999999999999655e-02,6.440000000000000169e-01,9.318027102753489999e-01
-2.574999999999999858e-02,1.931999999999999940e+00,1.612356001231828317e+00
-2.570000000000000062e-02,1.747999999999999998e+00,2.287435902317112024e+00
-2.564999999999999919e-02,3.219999999999999751e+00,2.955052570230837450e+00
-2.559999999999999776e-02,3.128000000000000114e+00,3.612165112359452035e+00
-2.554999999999999979e-02,4.508000000000000007e+00,4.254517106354246181e+00
-2.549999999999999836e-02,4.508000000000000007e+00,4.876757505277654836e+00
-2.545000000000000040e-02,5.796000000000000263e+00,5.472715574880232303e+00
-2.539999999999999897e-02,5.612000000000000099e+00,6.035708749042774102e+00
-2.534999999999999754e-02,6.991999999999999993e+00,6.558712513565998492e+00
-2.529999999999999957e-02,6.807999999999999829e+00,7.034632280018183081e+00
-2.524999999999999814e-02,8.096000000000000085e+00,7.456977997172542061e+00
-2.520000000000000018e-02,7.911999999999999922e+00,7.820893777437680328e+00
-2.514999999999999875e-02,8.647999999999999687e+00,8.124197655686840491e+00
-2.509999999999999731e-02,8.464000000000000412e+00,8.367896528983463256e+00
-2.504999999999999935e-02,8.832000000000000739e+00,8.556022067530237862e+00
